city,lon,lat,temp,temp_max,humidity,wind_speed,%_cloud_cover
Bandarbeyla,50.8122,9.4942,76.77,76.77,74,17.34,100
Banjar,114.9675,-8.19,77.92,78.66,87,1.63,100
Broken Hill,141.4333,-31.95,69.51,69.51,68,20.71,100
Staritsa,34.9354,56.5075,27.88,27.88,93,12.08,100
Port Hedland,118.5667,-20.3167,80.65,80.65,74,6.91,75
City of San Pedro,121.0167,14.35,76.19,76.35,82,4.61,40
Popondetta,148.2534,-8.7537,73.24,73.24,96,2.93,100
Westport,-73.3579,41.1415,45.79,48.76,59,1.99,77
Babu,111.5167,24.4167,49.17,49.17,88,2.51,100
Lesnoy,63.0784,57.6198,19.69,19.69,93,7.63,96
Olinda,-34.8553,-8.0089,83.93,83.93,65,10.36,0
Højslev,9.1364,56.5857,38.05,38.05,71,10,3
Hokitika,170.9667,-42.7167,56.91,56.91,67,1.03,100
Maceió,-35.7353,-9.6658,87.24,87.24,62,12.66,0
Preobrazheniye,133.9064,42.9019,10.87,10.87,64,9.75,1
Roald,6.1333,62.5833,31.84,33.01,93,28.77,100
Yulara,130.9889,-25.2406,73.24,73.24,68,6.91,75
Jumla,82.1838,29.2747,36.12,36.12,94,2.8,99
Umm Hājar,19.6966,13.2954,66.6,66.6,20,14.25,0
Atasū,71.6433,48.6814,6.57,6.57,87,9.78,18
Jackson,-122.8345,42.4165,52.07,54.45,71,1.01,71
Chara,118.2631,56.9064,-6.66,-6.66,81,1.41,100
La Ronge,-105.2842,55.1001,-16.35,-16.35,63,3.44,0
Çumra,32.7745,37.5732,18.5,18.5,78,10.83,6
Mvuma,30.5283,-19.2792,64.76,64.76,60,8.41,2
Seshcha,33.3387,53.7361,25.84,25.84,95,10.85,100
Dicabisagan,122.4157,17.0818,73.87,73.87,87,7.7,100
Tura,90.2201,25.5198,56.98,56.98,69,2.1,50
Ondjiva,15.7333,-17.0667,69.17,69.17,83,6.13,100
Egvekinot,-179.1667,66.3167,-18.06,-18.06,76,8.59,3
Mapiri,-68.1667,-15.25,77.85,77.85,93,1.36,100
Suntar,117.6319,62.1444,-13.68,-13.68,100,4.12,55
Hamilton,-84.5333,39.1834,48.51,50.63,69,1.99,100
Kruisfontein,24.7314,-34.0033,67.89,67.89,76,6.33,1
Flinders,150.8552,-34.5833,67.37,68.05,73,7,60
Burnie,145.9167,-41.0667,59.94,59.94,88,7.43,41
Zhangjiakou,114.8794,40.81,14.22,14.22,88,4.29,27
Garissa,39.6401,-0.4536,86.52,86.52,39,1.23,18
Nālūt,10.85,30.3333,49.44,49.44,47,6.87,47
Monrovia,-10.7969,6.3005,80.37,80.37,75,9.66,99
Flin Flon,-101.865,54.7682,-14.96,-14.96,58,9.22,0
Vangaindrano,47.6,-23.35,73.44,73.44,81,6.93,100
Santa Cruz de la Sierra,-63.1667,-17.8,91.45,91.45,52,13.8,75
Coahuayana Viejo,-103.6833,18.7333,87.73,87.73,42,6.91,91
Kiruna,20.2251,67.8557,18.52,18.52,79,8.05,100
Sur,59.5289,22.5667,73.51,73.51,79,10.83,0
Sines Municipality,-8.8698,37.9562,53.29,53.29,76,4,0
Pacifica,-122.4869,37.6138,56.98,64.56,75,5.01,0
Arrondissement de Mayenne,-0.6667,48.3333,42.24,42.24,99,3.65,100
Eastbourne,0.2845,50.7687,42.39,44.11,81,5.99,10
Bhindār,74.1833,24.5,59.2,59.2,47,1.92,0
Cedar City,-113.0619,37.6775,44.4,44.4,44,8.28,7
Beloha,45.05,-25.1667,70.32,70.32,76,8.23,8
Griffith,-87.4237,41.5284,21.7,23.61,64,5.01,0
Ambilobe,49.05,-13.2,74.57,74.57,94,5.35,100
Umluj,37.2685,25.0213,63.07,63.07,53,13.82,1
Dumas,-101.9732,35.8656,30.54,32.04,47,17.27,100
Cartagena del Chairá,-74.8429,1.3349,89.44,89.44,47,5.82,100
Pauini,-66.9764,-7.7136,88.92,88.92,56,0.81,100
Fortuna,-124.1573,40.5982,55.96,59.94,82,1.01,20
Alexandria,29.9553,31.2156,55.36,55.36,67,14.97,40
Zheleznodorozhnyy,38.0042,55.7503,20.8,21.72,95,9.04,98
Fairbanks,-147.7164,64.8378,3.65,5.59,85,2.77,98
Mendoza,-68.8272,-32.8908,67.53,67.53,52,5.75,75
Assiniboia,-105.9845,49.6334,-11.38,-7.69,58,10.36,6
Waipawa,175.5153,-41.4122,54.37,58.46,93,10.96,100
Ngunguru,174.5,-35.6167,66.16,66.16,73,4.36,100
Lakhīmpur,80.7667,27.95,50.16,50.16,67,4.79,28
Liverpool,-2.9779,53.4106,42.57,45.63,84,5.99,0
Shingū,135.9833,33.7333,35.53,35.53,75,7.47,4
El Alto,-81.2147,-4.2714,83.86,83.86,67,18.45,82
Moyale,39.0584,3.5167,75.85,75.85,38,8.52,34
Lárdos,28.0157,36.0942,44.42,44.94,50,9.44,0
Sitrah,50.6206,26.1547,62.47,62.6,68,4,0
Zhigansk,123.3711,66.7697,-16.73,-16.73,95,18.25,100
Lakota,-5.6883,5.8528,75.22,75.22,39,1.19,7
Saint-Pierre,55.4781,-21.3393,76.62,76.68,88,3.44,0
Akdepe,59.3788,42.0551,26.69,26.69,94,10.8,46
Aykhal,111.5,66,-7.42,-7.42,100,10,100
Saint-Joseph,55.6167,-21.3667,75.51,75.58,87,2.35,71
Praia da Vitória,-27.0667,38.7333,62.85,62.85,94,29.19,40
Avera,-82.5271,33.194,60.75,63.37,43,8.88,100
Bukachacha,116.9167,52.9833,-18.44,-18.44,97,1.61,32
Tarauacá,-70.7656,-8.1614,87.62,87.62,61,2.35,93
Yar-Sale,70.8333,66.8333,-7.17,-7.17,100,7.07,83
Port Augusta,137.7667,-32.5,75.7,75.7,60,13.51,100
Lubumbashi,27.4794,-11.6609,63.32,63.32,97,3.29,100
Ouégoa,164.4333,-20.35,80.15,80.15,77,10.85,22
Turukhansk,87.9833,65.8167,12.87,12.87,95,13,100
Les Cayes,-73.75,18.2,82.24,82.24,64,11.48,14
